STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonf,spearman_pval_bonf,point_biserial_pval_bonf,rank_biserial_pval_bonf
AT,STR_length,entropy,0.24592303773444577,0.0,0.36564468211800744,0.0,,,,,0.0,0.0,,
AT,STR_length,heterozygosity,0.24244904633504297,0.0,0.362862226958842,0.0,,,,,0.0,0.0,,
AT,STR_length,minor_freq,0.22331425235973923,1.235e-321,0.35667970462057114,0.0,,,,,3.55727e-319,0.0,,
AT,STR_length,label,0.30539480199843005,0.0,0.31016861861077444,0.0,0.30539480199843005,0.0,0.4140871230081987,0.0,0.0,0.0,0.0,0.0
AC,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,entropy,0.16150643199176498,2.938324592950664e-132,0.2954104820523686,0.0,,,,,8.462374827697912e-130,0.0,,
GT,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
AC,STR_length,heterozygosity,0.15348061608411318,1.759999969817284e-119,0.29425521089545503,0.0,,,,,5.068799913073778e-117,0.0,,
all,STR_length,entropy,0.16879657835026343,0.0,0.2693551894259637,0.0,,,,,0.0,0.0,,
GT,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
AC,STR_length,minor_freq,0.14008473018536452,1.1523513946368206e-99,0.2682053006840428,0.0,,,,,3.318772016554043e-97,0.0,,
all,STR_length,heterozygosity,0.16202332501794722,0.0,0.26785073389559605,0.0,,,,,0.0,0.0,,
GT,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
AC,STR_length,label,0.2754283018261507,0.0,0.26720440848759547,0.0,0.2754283018261507,0.0,0.29452989665581253,0.0,0.0,0.0,0.0,0.0
all,STR_length,minor_freq,0.14891918727038456,0.0,0.2509779223948707,0.0,,,,,0.0,0.0,,
all,STR_length,label,0.23952410826284662,0.0,0.23544734790565752,0.0,0.23952410826284662,0.0,0.2614775412709097,0.0,0.0,0.0,0.0,0.0
AG,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
CT,STR_length,entropy,0.09409513669603656,1.0185171728615463e-29,0.20511538202846932,9.235124152843291e-137,,,,,2.933329457841253e-27,2.659715756018868e-134,,
AG,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
CT,STR_length,heterozygosity,0.08318585153138737,1.4537601472465128e-23,0.20346785325199215,1.471607233523401e-134,,,,,4.186829224069957e-21,4.238228832547395e-132,,
all,all_dinuc_count,entropy,0.15485163473119987,0.0,0.1842629733227117,0.0,,,,,0.0,0.0,,
all,all_dinuc_count,heterozygosity,0.1453403625868209,0.0,0.18307388062704513,0.0,,,,,0.0,0.0,,
AC,all_dinuc_count,entropy,0.14503203754204982,9.164740035488728e-107,0.18082727779090366,7.754796162255551e-166,,,,,2.6394451302207536e-104,2.233381294729599e-163,,
GT,all_dinuc_count,entropy,0.14503203754204982,9.164740035488728e-107,0.18082727779090366,7.754796162255551e-166,,,,,2.6394451302207536e-104,2.233381294729599e-163,,
AC,all_dinuc_count,heterozygosity,0.1308793087065406,3.9239070225141566e-87,0.18046880458559933,3.541482509205728e-165,,,,,1.1300852224840771e-84,1.0199469626512496e-162,,
GT,all_dinuc_count,heterozygosity,0.1308793087065406,3.9239070225141566e-87,0.18046880458559933,3.541482509205728e-165,,,,,1.1300852224840771e-84,1.0199469626512496e-162,,
all,all_dinuc_count,minor_freq,0.13312453533316448,0.0,0.1768938660610925,0.0,,,,,0.0,0.0,,
GT,all_dinuc_count,minor_freq,0.1199246912526228,2.324478415098485e-73,0.17126763463763692,1.010624361490663e-148,,,,,6.694497835483637e-71,2.9105981610931098e-146,,
AC,all_dinuc_count,minor_freq,0.1199246912526228,2.324478415098485e-73,0.17126763463763692,1.010624361490663e-148,,,,,6.694497835483637e-71,2.9105981610931098e-146,,
AG,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,minor_freq,0.07452790910479755,3.237572156502401e-19,0.16919283302154178,4.791292244024785e-93,,,,,9.324207810726915e-17,1.3798921662791382e-90,,
CT,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AG,STR_length,label,0.17289719719023047,3.8449095227888647e-97,0.16879577731495443,1.2998357158646568e-92,0.17289719719023047,3.8449095227888647e-97,0.18643488662647612,2.528569905735295e-91,1.107333942563193e-94,3.7435268616902115e-90,2.7683348564079825e-95,1.8205703321294123e-89
AT,all_dinuc_count,entropy,0.13161453853773378,3.214443575093522e-111,0.16295218506396159,3.2887806730134698e-170,,,,,9.257597496269342e-109,9.471688338278793e-168,,
AT,all_dinuc_count,heterozygosity,0.1274657092833315,2.203558557586954e-104,0.1590837885891341,3.224213001408715e-162,,,,,6.346248645850428e-102,9.285733444057099e-160,,
all,all_dinuc_count,label,0.1755255719127953,0.0,0.15884494793667409,0.0,0.1755255719127953,0.0,0.183970068887231,0.0,0.0,0.0,0.0,0.0
AC,all_dinuc_count,label,0.17505874507968483,2.1635458145620035e-155,0.15793568099648309,1.7262209855700062e-126,0.17505874507968483,2.1635458145620035e-155,0.18126417657720872,6.14175483162837e-125,6.23101194593857e-153,4.971516438441618e-124,1.5577529864846425e-153,4.422063478772426e-123
GT,all_dinuc_count,label,0.17505874507968483,2.1635458145620035e-155,0.15793568099648309,1.7262209855700062e-126,0.17505874507968483,2.1635458145620035e-155,0.18126417657720872,6.14175483162837e-125,6.23101194593857e-153,4.971516438441618e-124,1.5577529864846425e-153,4.422063478772426e-123
AT,all_dinuc_count,minor_freq,0.11555168772184334,5.3067576951148456e-86,0.15479788761742813,1.340455760917214e-153,,,,,1.5283462161930756e-83,3.8605125914415764e-151,,
all,AT_count,entropy,0.12541833070958947,0.0,0.1309196290868766,0.0,,,,,0.0,0.0,,
CT,all_dinuc_count,entropy,0.14334416907372224,4.7562352000632644e-67,0.13066115288731567,6.364870323074853e-56,,,,,1.36979573761822e-64,1.8330826530455578e-53,,
AG,all_dinuc_count,entropy,0.14334416907372224,4.7562352000632644e-67,0.13066115288731567,6.364870323074853e-56,,,,,1.36979573761822e-64,1.8330826530455578e-53,,
