STR_type,nearby_type,target,pearson_corr,pearson_pval,spearman_corr,spearman_pval,point_biserial_corr,point_biserial_pval,rank_biserial_corr,rank_biserial_pval,pearson_pval_bonferonni,spearman_pval_bonferonni,point_biserial_pval_bonferonni,rank_biserial_pval_bonferonni
CT,all_dinuc_count,entropy,0.05323750184224341,4.2113159401521955e-14,0.10977310132482346,5.962072091463847e-55,,,,,8.338405561501346e-12,1.1804902741098416e-52,,
AG,all_dinuc_count,entropy,0.05323750184224341,4.2113159401521955e-14,0.10977310132482346,5.962072091463847e-55,,,,,8.338405561501346e-12,1.1804902741098416e-52,,
CT,all_dinuc_count,heterozygosity,0.06670168148481613,2.8342954505481315e-21,0.1090408631066886,3.0642345837705597e-54,,,,,5.6119049920853e-19,6.067184475865708e-52,,
AG,all_dinuc_count,heterozygosity,0.06670168148481613,2.8342954505481315e-21,0.1090408631066886,3.0642345837705597e-54,,,,,5.6119049920853e-19,6.067184475865708e-52,,
CT,all_dinuc_count,label,0.12016048735257961,1.4730800558295523e-65,0.10685460420834582,3.8036123529469735e-52,0.12016048735257961,1.4730800558295523e-65,0.12344932286935295,7.319643089616921e-52,2.9166985105425133e-63,7.531152458835007e-50,9.722328368475046e-64,4.830964439147168e-50
AG,all_dinuc_count,label,0.12016048735257961,1.4730800558295523e-65,0.10685460420834582,3.8036123529469735e-52,0.12016048735257961,1.4730800558295523e-65,0.12344932286935295,7.319643089616921e-52,2.9166985105425133e-63,7.531152458835007e-50,9.722328368475046e-64,4.830964439147168e-50
all,all_dinuc_count,label,0.10393489536658898,0.0,0.09117998734470537,0.0,0.10393489536658898,0.0,0.11966370133899817,0.0,0.0,0.0,0.0,0.0
AT,all_dinuc_count,label,0.09984709648783203,9.069114294094528e-94,0.0903176641128827,5.313556813226313e-77,0.09984709648783203,9.069114294094528e-94,0.14637013121151898,1.0703920375374554e-76,1.7956846302307166e-91,1.05208424901881e-74,5.9856154341023885e-92,7.064587447747206e-75
all,AT_count,label,0.08768008437322197,3.616660936288872e-300,0.08086082487614128,1.807887790956287e-255,0.08768008437322197,3.616660936288872e-300,0.08763662205821365,1.2137708712717775e-254,7.160988653851967e-298,3.579617826093448e-253,2.386996217950656e-298,8.010887750393732e-253
AG,AA_count,label,0.09846048322458285,1.6616100455879706e-44,0.08009176265932927,5.5652324345855e-30,0.09846048322458285,1.6616100455879706e-44,0.07659654888121792,6.827910268593146e-30,3.289987890264182e-42,1.101916022047929e-27,1.0966626300880606e-42,4.506420777271477e-28
CT,TT_count,label,0.09846048322458285,1.6616100455879706e-44,0.08009176265932927,5.5652324345855e-30,0.09846048322458285,1.6616100455879706e-44,0.07659654888121792,6.827910268593146e-30,3.289987890264182e-42,1.101916022047929e-27,1.0966626300880606e-42,4.506420777271477e-28
CT,TT_count,entropy,0.001875947980985457,0.7902355409416257,0.0751951625982104,1.2958323777921125e-26,,,,,156.4666371064419,2.565748108028383e-24,,
AG,AA_count,entropy,0.001875947980985457,0.7902355409416257,0.0751951625982104,1.2958323777921125e-26,,,,,156.4666371064419,2.565748108028383e-24,,
CT,TT_count,heterozygosity,0.014377361009200755,0.041472224787762184,0.07430230206132046,5.055010027132328e-26,,,,,8.211500507976913,1.000891985372201e-23,,
AG,AA_count,heterozygosity,0.014377361009200755,0.041472224787762184,0.07430230206132046,5.055010027132328e-26,,,,,8.211500507976913,1.000891985372201e-23,,
AT,all_dinuc_count,entropy,0.01655915799246877,0.0006775310764412403,0.06864095141295394,3.630702808666077e-45,,,,,0.13415115313536558,7.188791561158834e-43,,
AT,all_dinuc_count,heterozygosity,0.035197008434407956,4.996649849482362e-13,0.06650217593737237,1.6947772696575277e-42,,,,,9.893366701975078e-11,3.355658993921905e-40,,
